index,status,onset,cert_step,period,dx,dy,visited,bbox_w,bbox_h,onset_exact
242,HIGHWAY,347,575,104,-2,-2,141,18,15,1
243,HIGHWAY,223,431,104,2,2,115,15,14,1
244,HIGHWAY,2764,2984,104,-2,2,537,27,31,1
245,HIGHWAY,2272,2583,104,2,-2,502,32,30,1
246,HIGHWAY,347,555,104,-2,-2,157,16,16,1
247,HIGHWAY,20537,20752,104,2,2,2296,53,70,1
248,HIGHWAY,635,946,104,-2,-2,246,21,19,1
249,HIGHWAY,692,1003,104,2,-2,223,22,19,1
250,HIGHWAY,14113,14424,104,2,-2,2024,72,61,1
251,HIGHWAY,5067,5283,104,-2,2,767,33,44,1
252,HIGHWAY,11150,11366,104,-2,-2,1477,53,43,1
253,HIGHWAY,1527,1838,104,2,-2,387,28,26,1
254,HIGHWAY,6654,6870,104,2,-2,1002,43,41,1
255,HIGHWAY,379,599,104,-2,-2,150,17,16,1
256,HIGHWAY,9382,9675,104,-2,2,1283,43,44,1
257,HIGHWAY,1689,1905,104,-2,2,360,29,23,1
258,HIGHWAY,4855,5071,104,2,-2,832,44,34,1
259,HIGHWAY,3249,3560,104,-2,-2,592,34,28,1
260,HIGHWAY,264,575,104,-2,2,155,18,16,1
261,HIGHWAY,264,575,104,-2,2,155,18,16,1
262,HIGHWAY,4104,4415,104,2,-2,720,43,27,1
263,HIGHWAY,1313,1538,104,-2,-2,314,25,24,1
264,HIGHWAY,1374,1685,104,-2,2,349,24,27,1
265,HIGHWAY,6776,7087,104,2,-2,1176,49,44,1
266,HIGHWAY,320,631,104,-2,2,163,18,17,1
267,HIGHWAY,3224,3440,104,-2,-2,618,27,36,1
268,HIGHWAY,264,575,104,-2,2,155,18,16,1
269,HIGHWAY,264,575,104,-2,2,155,18,16,1
270,HIGHWAY,1348,1567,104,-2,2,307,23,25,1
271,HIGHWAY,1953,2260,104,-2,-2,399,24,30,1
272,HIGHWAY,509,725,104,2,-2,161,18,18,1
273,HIGHWAY,504,815,104,-2,2,201,20,20,1
274,HIGHWAY,595,908,104,2,-2,216,20,20,1
275,HIGHWAY,4479,4790,104,2,2,909,41,45,1
276,HIGHWAY,2956,3172,104,2,2,612,33,34,1
277,HIGHWAY,6611,6837,104,2,-2,866,37,40,1
278,HIGHWAY,896,1207,104,2,2,281,24,23,1
279,HIGHWAY,1584,1813,104,-2,2,394,27,26,1
280,HIGHWAY,3846,4062,104,-2,-2,702,37,32,1
281,HIGHWAY,484,795,104,2,2,199,20,20,1
282,HIGHWAY,348,659,104,-2,2,172,18,17,1
283,HIGHWAY,9386,9679,104,-2,2,1283,43,44,1
284,HIGHWAY,276,587,104,-2,2,161,18,16,1
285,HIGHWAY,272,583,104,-2,2,159,18,16,1
286,HIGHWAY,272,583,104,-2,2,159,18,16,1
287,HIGHWAY,268,579,104,-2,2,157,18,16,1
288,HIGHWAY,11387,11698,104,2,2,1541,49,47,1
289,HIGHWAY,200,424,104,-2,2,104,14,12,1
290,HIGHWAY,2473,2689,104,2,-2,519,26,36,1
291,HIGHWAY,2267,2495,104,2,2,473,30,25,1
292,HIGHWAY,6768,7079,104,2,-2,1176,49,44,1
293,HIGHWAY,464,682,104,2,-2,169,18,18,1
294,HIGHWAY,11381,11692,104,-2,-2,1541,49,47,1
295,HIGHWAY,500,811,104,2,-2,201,20,20,1
296,HIGHWAY,263,574,104,-2,-2,154,16,18,1
297,HIGHWAY,419,730,104,2,2,190,20,18,1
298,HIGHWAY,5427,5738,104,2,2,924,34,44,1
299,HIGHWAY,4992,5208,104,2,2,825,34,41,1
300,HIGHWAY,2541,2749,104,-2,-2,527,32,25,1
301,HIGHWAY,1973,2199,104,2,2,453,30,29,1
302,HIGHWAY,3514,3825,104,-2,2,605,32,32,1
303,HIGHWAY,2907,3150,104,2,-2,589,29,34,1
304,HIGHWAY,13926,14237,104,2,-2,1635,45,56,1
305,HIGHWAY,2911,3154,104,-2,2,589,29,34,1
306,HIGHWAY,344,655,104,-2,2,163,17,19,1
307,HIGHWAY,1441,1657,104,2,2,361,26,21,1
308,HIGHWAY,588,804,104,2,2,192,20,21,1
309,HIGHWAY,10303,10614,104,2,2,1428,36,66,1
310,HIGHWAY,9378,9671,104,-2,2,1283,43,44,1
311,HIGHWAY,1685,1901,104,-2,2,360,29,23,1
312,HIGHWAY,1015,1231,104,-2,2,285,25,21,1
313,HIGHWAY,4463,4756,104,2,2,779,36,32,1
314,HIGHWAY,30948,31173,104,2,-2,3273,82,70,1
315,HIGHWAY,11391,11702,104,2,2,1541,49,47,1
316,HIGHWAY,801,1017,104,-2,2,236,23,21,1
317,HIGHWAY,1644,1904,104,2,-2,404,24,30,1
318,HIGHWAY,1370,1681,104,-2,2,349,24,27,1
319,HIGHWAY,6772,7083,104,2,-2,1176,49,44,1
320,HIGHWAY,8435,8650,104,-2,-2,1067,51,36,1
321,HIGHWAY,480,791,104,2,2,200,20,20,1
322,HIGHWAY,896,1208,104,-2,2,260,24,24,1
323,HIGHWAY,4934,5159,104,-2,2,820,33,43,1
324,HIGHWAY,543,854,104,-2,-2,228,20,19,1
325,HIGHWAY,543,854,104,-2,-2,228,20,19,1
326,HIGHWAY,2349,2574,104,-2,2,531,30,30,1
