rule,status,onset,cert_step,period,dx,dy,visited,bbox_w,bbox_h,onset_exact
RLRRLLLRRRRR,TIMEOUT,-1,20000000,-1,0,0,138791,464,396,0
RLRRLLLRRRRL,TIMEOUT,-1,20000000,-1,0,0,140244,429,473,0
RLRRLLLRRRLR,TIMEOUT,-1,20000000,-1,0,0,151336,437,485,0
RLRRLLLRRRLL,TIMEOUT,-1,20000000,-1,0,0,150489,434,480,0
RLRRLLLRRLRR,TIMEOUT,-1,20000000,-1,0,0,132116,390,418,0
RLRRLLLRRLRL,TIMEOUT,-1,20000000,-1,0,0,148783,461,418,0
RLRRLLLRRLLR,TIMEOUT,-1,20000000,-1,0,0,7544,92,92,0
RLRRLLLRRLLL,TIMEOUT,-1,20000000,-1,0,0,288645,559,551,0
RLRRLLLRLRRR,TIMEOUT,-1,20000000,-1,0,0,146364,498,429,0
RLRRLLLRLRRL,TIMEOUT,-1,20000000,-1,0,0,154389,473,455,0
RLRRLLLRLRLR,TIMEOUT,-1,20000000,-1,0,0,153254,452,475,0
